id,description,display_name,free_text,display,facet_filter,variant,variant_pair
1,Country of Origin,Country of Origin,0,TRUE,FALSE,TRUE,FALSE
3,old_Baby Kid Clothing Size,Size,0,TRUE,TRUE,TRUE,FALSE
4,Material Type,Material,0,TRUE,TRUE,TRUE,FALSE
5,Import Designation,Import Designation,0,TRUE,FALSE,TRUE,FALSE
7,Fuel Type,Fuel Type,0,TRUE,TRUE,TRUE,FALSE
8,Product Form,Form,0,FALSE,FALSE,TRUE,FALSE
9,ESRB Rating,ESRB Rating,0,TRUE,TRUE,TRUE,FALSE
11,Towel Size,Towel Size,0,TRUE,TRUE,TRUE,FALSE
12,Sheet Type,Sheet Type,0,TRUE,TRUE,TRUE,FALSE
13,Pillow Size,Pillow Size,0,TRUE,TRUE,TRUE,FALSE
14,Light Source Type,Light Source,0,TRUE,TRUE,TRUE,FALSE
15,D̩cor Style,Style,0,TRUE,TRUE,TRUE,FALSE
16,Instrument Size,Instrument Size,0,TRUE,FALSE,TRUE,FALSE
17,Fixture Finish Type,Finish,0,TRUE,TRUE,TRUE,FALSE
18,Game Genre,Genre,0,TRUE,TRUE,TRUE,FALSE
19,Book Format,Format,0,TRUE,TRUE,TRUE,FALSE
20,Music Format,Format,0,TRUE,TRUE,TRUE,FALSE
21,Software Format,Format,0,TRUE,TRUE,TRUE,FALSE
23,Mitt Type,Mitt Type,0,TRUE,TRUE,TRUE,FALSE
24,Printer Type,Printer Type,0,TRUE,TRUE,TRUE,FALSE
25,Calculator Type,Calculator Type,0,TRUE,TRUE,TRUE,FALSE
26,Scanner Type,Scanner Type,0,TRUE,TRUE,TRUE,FALSE
27,Microwave Type,Microwave Type,0,TRUE,TRUE,TRUE,FALSE
28,Baby Carrier Type,Carrier Type,0,TRUE,TRUE,TRUE,FALSE
29,Breast Pump Type,Breast Pump Type,0,TRUE,TRUE,TRUE,FALSE
30,Language,Language,0,TRUE,TRUE,TRUE,FALSE
31,Age Range,Age Range,0,TRUE,FALSE,TRUE,FALSE
32,Age Group,Age Group,0,TRUE,TRUE,TRUE,FALSE
33,Target Audience,Target Audience,0,FALSE,FALSE,TRUE,FALSE
34,Gender,Genders,0,FALSE,FALSE,TRUE,FALSE
35,Battery Type,Battery Type,0,TRUE,TRUE,TRUE,FALSE
36,Health & Beauty Item Form,Form,0,TRUE,FALSE,TRUE,FALSE
