active,attribute_id,category_id
TRUE,119,17000110
TRUE,119,17000111
TRUE,119,17000112
TRUE,119,17000113
TRUE,119,17000114
TRUE,119,17000115
TRUE,119,17000116
TRUE,119,17000117
TRUE,119,17000118
TRUE,119,17000119
TRUE,119,17000120
TRUE,119,17000121
TRUE,119,17000122
TRUE,119,17000123
TRUE,119,17000124
TRUE,119,17000125
TRUE,119,17000126
TRUE,119,17000127
TRUE,119,17000128
TRUE,119,17000129
TRUE,119,17000130
TRUE,119,17000131
TRUE,119,17000132
TRUE,119,17000133
TRUE,119,17000134
TRUE,119,17000135
TRUE,119,17000136
TRUE,119,17000137
TRUE,119,17000138
TRUE,119,17000139
TRUE,119,17000140
TRUE,119,17000141
TRUE,119,17000142
TRUE,119,17000143
TRUE,119,17000144
TRUE,119,17000145
TRUE,119,17000146
TRUE,119,17000147
TRUE,119,17000148
TRUE,119,17000149
TRUE,119,17000150
TRUE,119,17000151
TRUE,119,17000152
TRUE,119,17000153
TRUE,119,17000154
TRUE,119,17000155
TRUE,119,17000156
TRUE,119,17000157
TRUE,119,17000158
TRUE,119,17000159
TRUE,119,17000160
TRUE,119,17000161
TRUE,119,17000162
TRUE,119,17000163
TRUE,119,17000164
TRUE,119,17000165
TRUE,119,17000166
TRUE,119,17000167
TRUE,119,17000168
TRUE,119,17000169
TRUE,119,17000170
TRUE,119,17000171
TRUE,119,17000172
TRUE,119,17000173
TRUE,119,17000174
TRUE,119,17000175
TRUE,119,17000176
TRUE,119,17000177
TRUE,119,17000178
TRUE,119,17000179
TRUE,119,17000180
TRUE,119,17000181
TRUE,119,17000182
TRUE,119,17000183
TRUE,119,17000184
TRUE,119,17000185
TRUE,119,17000186
TRUE,119,17000187
TRUE,119,17000188
TRUE,119,17000189
TRUE,119,17000190
TRUE,119,17000191
TRUE,119,17000192
TRUE,119,17000194
TRUE,119,17000195
TRUE,119,17000196
TRUE,119,17000197
TRUE,119,17000198
TRUE,119,17000199
TRUE,119,17000200
TRUE,119,17000201
TRUE,119,17000202
TRUE,119,17000203
TRUE,119,17000204
TRUE,119,17000205
TRUE,119,17000206
TRUE,119,17000207
TRUE,119,17000208
TRUE,119,17000209
TRUE,119,17000210
TRUE,119,17000211
TRUE,119,17000212
TRUE,119,17000213
TRUE,119,17000214
TRUE,119,17000215
TRUE,119,17000216
TRUE,119,17000217
TRUE,119,17000218
TRUE,119,17000219
TRUE,119,17000220
TRUE,119,17000221
TRUE,119,17000222
TRUE,119,17000223
TRUE,119,17000224
TRUE,119,17000225
TRUE,119,17000226
TRUE,119,17000227
TRUE,119,17000228
TRUE,119,17000229
TRUE,119,17000230
TRUE,119,17000231
TRUE,119,17000232
TRUE,119,17000233
TRUE,119,17000234
TRUE,119,17000235
TRUE,119,17000236
TRUE,119,17000237
TRUE,119,17000238
TRUE,119,17000239
TRUE,119,17000240
TRUE,119,17000241
TRUE,119,17000242
TRUE,119,17000243
TRUE,119,17000244
TRUE,119,17000245
TRUE,119,17000246
TRUE,119,17000247
TRUE,119,17000248
TRUE,119,17000249
TRUE,119,17000251
TRUE,119,17000252
TRUE,119,17000253
TRUE,119,17000254
TRUE,119,17000255
TRUE,119,17000256
TRUE,119,17000257
TRUE,119,17000258
TRUE,119,17000259
TRUE,119,17000260
TRUE,119,17000261
TRUE,119,17000262
TRUE,119,17000263
TRUE,119,17000264
TRUE,119,17000265
TRUE,119,17000266
TRUE,119,17000267
TRUE,119,17000268
TRUE,119,17000269
TRUE,119,17000270
TRUE,119,17000271
TRUE,119,17000272
TRUE,119,17000273
TRUE,119,17000274
TRUE,119,17000275
TRUE,119,17000276
TRUE,119,17000277
TRUE,119,17000278
TRUE,119,17000279
TRUE,119,17000280
TRUE,119,17000281
TRUE,119,17000282
TRUE,119,17000283
TRUE,119,17000284
TRUE,119,17000285
TRUE,119,17000286
TRUE,119,17000287
TRUE,119,17000288
TRUE,119,17000289
TRUE,119,17000290
TRUE,119,17000291
TRUE,119,17000292
TRUE,119,17000293
TRUE,119,17000294
TRUE,119,17000295
TRUE,119,17000296
TRUE,119,17000297
TRUE,119,17000298
TRUE,119,17000299
TRUE,119,17000302
TRUE,119,17000303
TRUE,119,17000304
TRUE,119,17000305
TRUE,119,17000306
TRUE,119,17000307
TRUE,119,17000308
TRUE,119,17000309
TRUE,119,17000310
TRUE,119,17000311
TRUE,119,17000312
TRUE,119,17000313
TRUE,119,17000314
TRUE,172,4000540
TRUE,172,4000541
TRUE,172,4000542
TRUE,172,4000543
TRUE,172,4000544
TRUE,172,4000545
TRUE,172,4000546
TRUE,172,4000547
TRUE,172,4000548
TRUE,172,4000549
TRUE,172,4000550
TRUE,172,4000551
TRUE,172,4000552
TRUE,172,4000553
TRUE,172,4000554
TRUE,172,4000555
TRUE,172,4000556
TRUE,172,4000557
TRUE,172,4000558
TRUE,172,4000559
TRUE,172,4000560
TRUE,172,4000561
TRUE,172,4000562
TRUE,172,4000563
TRUE,172,4000564
TRUE,172,4000565
TRUE,172,4000566
TRUE,172,4000567
TRUE,172,4000568
TRUE,172,4000569
TRUE,172,4000570
TRUE,172,4000571
TRUE,172,4000572
TRUE,172,4000573
TRUE,172,4000574
TRUE,172,4000575
TRUE,172,4000576
TRUE,172,4000577
TRUE,172,4000578
TRUE,172,4000579
TRUE,172,4000580
TRUE,172,4000581
TRUE,172,4000582
TRUE,172,4000583
TRUE,172,4000584
TRUE,172,4000585
TRUE,172,4000586
TRUE,172,4000587
TRUE,172,4000588
TRUE,172,4000589
TRUE,172,4000590
TRUE,172,4000591
TRUE,172,4000592
TRUE,172,4000593
TRUE,172,4000594
TRUE,172,4000595
TRUE,172,4000596
TRUE,172,4000597
TRUE,172,4000598
TRUE,172,4000599
TRUE,172,4000600
TRUE,172,4000601
TRUE,172,4000602
TRUE,172,4000603
TRUE,172,4000604
TRUE,172,4000605
TRUE,172,4000606
TRUE,172,4000607
TRUE,172,4000608
TRUE,172,4000609
TRUE,172,4000610
TRUE,172,4000611
TRUE,172,4000612
TRUE,172,4000613
TRUE,172,4000614
TRUE,172,4000615
TRUE,172,4000616
TRUE,172,4000617
TRUE,172,4000618
TRUE,172,4000619
TRUE,172,4000620
TRUE,172,4000621
TRUE,172,4000622
TRUE,172,4000623
TRUE,172,4000624
TRUE,172,4000625
TRUE,172,4000626
TRUE,172,4000627
TRUE,172,4000628
TRUE,172,4000629
TRUE,172,4000630
TRUE,172,4000631
TRUE,172,4000632
TRUE,172,4000633
TRUE,172,4000634
TRUE,172,4000635
TRUE,172,4000636
TRUE,172,4000637
TRUE,172,4000638
TRUE,172,4000639
TRUE,172,4000640
TRUE,172,4000641
TRUE,172,4000642
TRUE,172,4000643
TRUE,172,4000644
TRUE,172,4000645
TRUE,172,4000646
TRUE,172,4000647
TRUE,172,4000648
TRUE,172,4000649
TRUE,172,4000650
TRUE,172,4000651
TRUE,172,4000652
TRUE,172,4000653
TRUE,172,4000654
TRUE,172,4000655
TRUE,172,4000656
TRUE,172,4000657
TRUE,172,4000658
TRUE,172,4000659
TRUE,172,4000660
TRUE,172,4000661
TRUE,172,4000662
TRUE,172,4000663
TRUE,172,4000664
TRUE,172,4000665
TRUE,172,4000666
TRUE,172,4000667
TRUE,172,4000668
TRUE,172,4000669
TRUE,172,4000670
TRUE,172,4000671
TRUE,172,4000672
TRUE,172,4000673
TRUE,172,4000674
TRUE,172,4000675
TRUE,172,4000676
TRUE,172,4000677
TRUE,172,4000678
TRUE,172,4000679
TRUE,172,4000680
TRUE,172,4000681
TRUE,172,4000682
TRUE,172,4000683
TRUE,172,4000684
TRUE,172,4000685
TRUE,172,4000686
TRUE,172,4000687
TRUE,172,4000688
TRUE,172,4000689
TRUE,172,4000690
TRUE,172,4000691
TRUE,172,4000692
TRUE,172,4000693
TRUE,172,4000694
TRUE,172,4000695
TRUE,172,4000696
TRUE,172,4000697
TRUE,172,4000698
TRUE,172,4000699
TRUE,172,4000700
TRUE,172,4000701
TRUE,172,4000702
TRUE,172,4000703
TRUE,172,4000704
TRUE,172,4000705
TRUE,172,4000706
TRUE,172,4000707
TRUE,172,4000708
TRUE,172,4000709
TRUE,172,4000710
TRUE,172,4000711
TRUE,172,4000712
TRUE,172,4000713
TRUE,172,4000714
TRUE,172,4000715
TRUE,172,4000716
TRUE,172,4000717
TRUE,172,4000718
TRUE,172,4000719
TRUE,172,4000720
TRUE,172,4000721
TRUE,172,4000722
TRUE,172,4000723
TRUE,172,4000724
TRUE,172,4000725
TRUE,172,4000726
TRUE,172,4000727
TRUE,172,4000728
TRUE,172,4000729
TRUE,172,4000730
TRUE,172,4000731
TRUE,172,4000732
TRUE,172,4000733
TRUE,172,4000734
TRUE,172,4000735
TRUE,172,4000736
TRUE,172,4000737
TRUE,172,4000738
TRUE,172,4000739
TRUE,172,4000740
TRUE,172,4000741
TRUE,172,4000742
TRUE,172,4000743
TRUE,172,4000744
TRUE,172,4000745
TRUE,172,4000746
TRUE,172,4000747
TRUE,172,4000748
TRUE,172,4000749
TRUE,172,4000750
TRUE,172,4000751
TRUE,172,4000752
TRUE,172,4000753
TRUE,172,4000754
TRUE,172,4000755
TRUE,172,4000756
TRUE,172,4000757
TRUE,172,4000758
TRUE,172,4000759
TRUE,172,4000760
TRUE,172,4000761
TRUE,172,4000762
TRUE,172,4000763
TRUE,172,4000764
TRUE,173,4000000
TRUE,173,4000001
TRUE,173,4000002
TRUE,173,4000003
TRUE,173,4000004
TRUE,173,4000005
TRUE,173,4000006
TRUE,173,4000007
TRUE,173,4000008
TRUE,173,4000009
TRUE,173,4000010
TRUE,173,4000011
TRUE,173,4000012
TRUE,173,4000013
TRUE,173,4000014
TRUE,173,4000015
TRUE,173,4000016
TRUE,173,4000017
TRUE,173,4000018
TRUE,173,4000019
TRUE,173,4000020
TRUE,173,4000021
TRUE,3,2000044
TRUE,3,8000089
TRUE,3,9000002
TRUE,3,9000003
TRUE,3,9000004
TRUE,3,9000005
TRUE,3,9000006
TRUE,3,9000007
TRUE,3,9000008
TRUE,3,9000009
TRUE,3,9000010
TRUE,3,9000011
TRUE,3,9000012
TRUE,3,9000013
TRUE,3,9000015
TRUE,3,9000016
TRUE,3,9000018
TRUE,3,9000019
